NAME,FAMILY,ABBREV_NAME,COLL_DT,ACC_NUM,COLL_NUM,COLL_ID,COLLECTOR,COLLECTED_WITH,COUNTRY_CODE,PHYTOREGION,PHYTOREGION_FULL,SUB_CNT1,SUB_CNT2,SUB_CNT3,GEOG_AREA,LOCALITY,LATITUDE,LONGITUDE,LATITUDE_DECIMAL,LONGITUDE_DECIMAL,GEOREF_SOURCE,GPS_DATUM,ALTITUDE,ALTITUDE_UNIT,LAND_OWNER,ASSOCIATED_TAXA_FULL,USER2,GEOMORPHOLOGY,SLOPE,ASPECT,HABITAT,USER1,GEOLOGY,SOIL_TYPE,COLLECTION_MISC,POPULATION_SIZE,OCCUPANCY,SEED_SOURCE,DESCRIPTION,USER3,USER4,USER5,KEYWORD,PSOURCE_FULL,SECOND_COLL_DT,DATE_AS_GIVEN,USER10,SECONDARY_ID,CREATED_BY,USER8,USER9,ACC_DT,GENUS,SPECIES,COLL_YR,MISC
Mimulus ringens,SCROPHULARIACEAE,MIRI,10-Oct-19,CBG-10519,10519,CBG,,"Niday, P.",US,57E,Huron/ Erie Lake Plain (Omernik),Ohio,Lucas,Oak Openings Corridor,Dorr / Irwin COR 20,"west side of North Irwin Road, south of Dorr Street, North of Frankfort Road",,,.,.,GPS,NAD83,,FT,Metroparks Toledo,Epilobium sp.:Eupatorium perfoliatum:Lythrum alatum:Penthorum sedoides:Verbena hastata,,,,,,protected area,"ancient shoreline, Warren Beach",Sand,150 plants sampled,400,1.5,P,,,P. Niday,2,,,,,1,,WEB,3.5,"brown, gray",8-Apr-20,MIMULUS,ringens,2019,
Carex scoparia,CYPERACEAE,CASC11,29-Jun-19,CBG-10521,10521,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Macoupin,,,"Ditch bank, edge of mine slag pile, east edge of Gillespie.","39°8' 9.10"" N","89°48' 13.9"" W",39.13586,-89.80386,GPS,WGS84,,FT,IDOT,Paspalum laeve:Schedonorus arundinaceus:Carex vulpinoidea:Rubus sp.:Rosa carolina:Tradescantia ohiensis:Gaura biennis:Hypericum drummondii:Rumex acetosella:Diodia teres,disturbed,ditch,drainage,,prairie,drainage,southern Illinois till plain,Clay,50 plants sampled,110,0.25,P,,,H. Eiler,2,,,,,,,WEB,2,light gray,8-Apr-20,CAREX,scoparia,2019,
Silene nivea,CARYOPHYLLACEAE,SINI,3-Jul-19,CBG-10522,10522,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"5 mile creek, Lake Yaeger.","39°16' 5.86"" N","89°36' 7.87"" W",39.26829,-89.60218,GPS,WGS84,600,FT,city of Litchfield,Celtis occidentalis:Carya sp.:Quercus sp.:Viburnum prunifolium:Rosa multiflora:Lonicera maackii:Elymus riparius:Arisaema dracontium:Ruellia strepens,,,,,flood plain forest,plain,southern Illinois till plain,Clay,plants sampled,,0.1,P,"Number of plants sampled: clonal, large patches.",,H. Eiler,2,,,,,1,,WEB,,light gray,11-Aug-20,SILENE,nivea,2019,
Polygala sanguinea,POLYGALACEAE,POSA3,3-Jul-19,CBG-10523,10523,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,Powerline corridor.,"39°11' 10.47"" N","89°36' 38.57"" W",39.18624,-89.61071,GPS,WGS84,670,FT,City of Litchfield,Danthonia spicata:Liatris pycnostachya:Liatris aspera:Elymus virginicus:Andropogon virginicus:Carex sp.:Juncus dudleyi:Hypericum prolificum:Corylus sp.:Corylus americana:Salix humilis:Hieracium longipilum:Quercus sp.:Carya sp.,,ridge top,,,woodland edge,powerline corridor,southern Illinois till plain,Clay,100 plants sampled,200,0.5,P,,,H. Eilers,2,,,,,2,,WEB,0.75,light gray,10-Aug-20,POLYGALA,sanguinea,2019,
Carex brevior,CYPERACEAE,CABR10,25-Jun-19,CBG-10524,10524,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"Litchfield, Rte. 66 Prairie","39°13' 56.80"" N","89°38' 25.87"" W",39.23244,-89.64051,GPS,WGS84,600,FT,IDOT,Carex umbellata:Carex bushii:Carex frankii:Carex squarrosa:Lobelia spicata:Andropogon gerardii:Schizachyrium scoparium:Koeleria macrantha:Houstonia longifolia:Tradescantia ohiensis:Silphium terebinthinaceum:Silphium laciniatum,,,,,wet prairie,conservation,southern Illinois till plain,,100 plants sampled,200,10,P,,,H. Eilers,2,,,,,,,WEB,,light gray,10-Aug-20,CAREX,brevior,2019,
Polygala verticillata var. isocycla,POLYGALACEAE,POVEI,26-Jun-19,CBG-10525,10525,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"Lake Yaeger, w of Park Rd.","39°11' 39.45"" N","89°36' 29.30"" W",39.19429,-89.60813,GPS,WGS84,600,FT,City of Litchfield,Verbesina:Ceanothus americanus:Lechea tenuifolia:Quercus alba:Quercus velutina:Quercus imbricaria:Carya sp.:Carex albicans:Carex umbellata:Carex rosea:Carex muehlenbergii:Danthonia spicata:Rosa carolina,,upland,,,woodland edge,Ameren right of way,southern Illinois till plain,Clay,100 plants sampled,100,1,P,,,H. Eilers,2,,,,,,,WEB,0.5,light gray,10-Aug-20,POLYGALA,verticillata,2019,
Carex swanii,CYPERACEAE,CASW,21-Jun-19,CBG-10526,10526,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,Shoal Creek Conservation Area,north old fields,,"39°11' 10.81"" N","89°35' 44.60"" W",39.18633,-89.59572,GPS,WGS84,,FT,city of Litchfield,Rhus glabra:Rhus copallina var. latifolia:Rubus sp.:Sassafras albidum:Quercus palustris:Quercus imbricaria:Quercus velutina:Carex rosea:Carex davisii:Carex albicans:Muhlenbergia sp.:Claytonia virginica:Danthonia spicata:Arisaema dracontium:Arisaema triphyllum:Maianthemum racemosum,,plain,,,woodland,conservation,southern Illinois till plain,Clay,50 plants sampled,70,2,P,,,H. Eiler,2,,,,,1,,WEB,1.5,light gray,9-Apr-20,CAREX,swanii,2019,
Gratiola neglecta,SCROPHULARIACEAE,GRNE,7-Jul-19,CBG-10529,10529,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,Shoal Creek CA flatwoods,"39°11' 58.8"" N","89°35' 41.97"" W",39.19966,-89.59499,GPS,WGS84,660,FT,City of Litchfield,Quercus stellata:Quercus marilandica:Quercus alba:Quercus palustris:Liatris pycnostachya:Carex sp.:Eleocharis tenuis var. verrucosa:Cinna arundinacea:Agrostis hyemalis:Chenopodium standleyanum:Paronychia:Krigia biflora:Helianthus mollis:Hedeoma pulegioides,water line lane disturbance,plain,,,flatwoods,conservation,southern Illinois till plain,"Clay, Silt",60 plants sampled,60,0.5,P,Plant numbers estimated.,,H. Eilers,2,,,,,,,WEB,0.5,light gray,11-Aug-20,GRATIOLA,neglecta,2019,
Fragaria virginiana,ROSACEAE,FRVI,18-Jun-19,CBG-10530,10530,CBG,,"Eilers, H., J. Brandtner",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,Litchfield Rte. 66 Prairie,"39°13' 56.80"" N","89°38' 25.90"" W",39.23244,-89.64052,GPS,WGS84,600,FT,IDOT,Antennaria neglecta:Eleocharis tenuis var. verrucosa:Platanthera lacera:Polygala verticillata:Polygala:Sporobolus asper:Setaria parviflora:Juncus biflorus:Juncus torreyi:Juncus interior:Scirpus pendulus:Scirpus sp.:Sorghastrum nutans:Andropogon gerardii:Schizachyrium scoparium,,,,,prairie,conservation,southern Illinois till plain,Clay,60 plants sampled,200,3,P,Plant numbers estimated.,,H. Eilers,2,,,,,,,WEB,0.5,light gray,11-Aug-20,FRAGARIA,virginiana,2019,
Plantago virginica,PLANTAGINACEAE,PLVI,15-Jun-19,CBG-10531,10531,CBG,,"Eilers, H.",US,72E,Interior River Valleys and Hills (Omernik),Illinois,Montgomery,,,"Powerline clearing along Yaeger Lake Tr., before dam.","39°10' 34.05"" N","89°37' 00.11"" W",39.17612,-89.61669,GPS,WGS84,650,FT,City of Litchfield,Corylus americana:Cornus drummondii:Hypericum prolificum:Hypericum sphaerocarpum:Hypericum drummondii:Hypericum gentianoides:Sabatia angularis:Hieracium longipilum:Hieracium scabrum:Lechea tenuifolia:Polygala sanguinea:Carya sp.:Quercus stellata:Quercus alba:Quercus velutina,powerline maintenance activity,,,,woodland opening,utility right of way,southern Illinois till plain,"Clay, Silt",60 plants sampled,60,0.5,P,Plant numbers estimated.,,H. Eilers,2,,,,,,,WEB,1,light gray,11-Aug-20,PLANTAGO,virginica,2019,
