GG package,Pullman Box,Genus ,Species,Accn Number,% normal germ,% total germ (incl. abnormal+clip),% dormant,% viable,% empty,% dead,100 Seed Weight (g),100 Seed Inert Weight (g),Total Sample Weight (g),NLGRP Weight (g),Pullman Weight (g),Collector Weight (g),GRIN Weight (g),Total Estimated Seeds (#),NLGRP Estimated Seed (#),Pullman Estimated Seed (#),Collector Estimated Seed (#),GRIN Estimated Seed (#),Notes
1,2,Spiraea,tomentosa,NEWFS-748,0.43,0.43,0.00,0.43,0.57,0.00,0.0019,0.1707,100.66,5.78,5.77,84.33,5.77,58320,3349,3343,48858.63268,3342.989571,
1,1,Spiraea,tomentosa,NEWFS-859,0.68,0.68,0.00,0.68,0.27,0.04,0.0032,0.2283,88.21,7.75,7.76,66.27,7.77,38104,3348,3352,28626.34989,3356.37149,
2,1,Spiraea,tomentosa,NEWFS-940,0.50,0.50,0.00,0.50,0.50,0.00,0.0032,0.1632,119.28,5.99,5.99,101.89,6.02,71683,3600,3600,61231.97115,3617.788462,
2,2,Suaeda,maritima,NEWFS-783,0.83,0.83,0.05,0.88,0.00,0.12,0.0569,0.8235,181.96,46.88,46.55,41.55,46.61,20668,5325,5287,4719.445706,5294.184462,
1,1,Suaeda,maritima,NEWFS-871,0.66,0.66,0.20,0.86,0.00,0.14,0.0671,0.2586,30.99,10.87,10.89,0,10.77,9515,3337,3344,0,3306.723979,
1,2,Symphyotrichum,subulatum,MARSB-607,0.10,0.10,0.00,0.10,0.90,0.00,0.0178,0.0981,18.52,3.89,3.86,5.13,3.96,15979,3356,3330,4426.229508,3416.738568,
1,2,Symphyotrichum,subulatum,NEWFS-899,0.04,0.04,0.00,0.04,0.96,0.00,0.0124,0.0932,88.03,3.71,3.71,78.94,3.85,83362,3513,3513,74753.78788,3645.833333,
NA,2,Symphyotrichum,tenuifolium,NEWFS-426,0.02,0.02,0.00,0.02,0.98,0.00,0.0259,0.1497,5.19,2.55,2.41,0,0,2956,1452,1372,0,0,
NA,2,Symphyotrichum,tenuifolium,NEWFS-741,0.11,0.11,0.00,0.11,0.89,0.00,0.0344,0.1713,4.59,2.28,2.29,0,0,2231,1108,1113,0,0,
1,2,Symphyotrichum,tenuifolium,NEWFS-758,0.07,0.07,0.00,0.07,0.93,0.00,0.0312,0.132,19.14,1.71,1.61,14.66,1.74,11728,1048,987,8982.843137,1066.176471,
NA,2,Symphyotrichum,tenuifolium,NEWFS-916,0.04,0.04,0.00,0.04,0.96,0.00,0.0222,0.1562,3.84,1.86,1.62,0,0,2152,1043,908,0,0,
2 (3),1 (3),Taxodium,distichum,NCBG-304,0.20,0.20,0.21,0.41,0.09,0.50,5.8873,18.7752,4246.62,822.54,822.79,1834.94,822.8,17219,3335,3336,7440.202737,3336.23923,
NA,NA,Teucrium,canadense,NEWFS-374,,,,,,,N/A,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Sample on packing list but not included in shipment
NA,2,Triadenum,fraseri,NEWFS-539,,,,0.00,,1.00,0.0731,0.0372,6.2011,3.06,3.03,0,0,5622,2774,2747,0,0,Initial TZ of ~ 10 seeds indicated no viability.  High proportion of empty seeds or embryos damaged by insect/handling. Perhaps immature. Not planted for germ assay.
1,1,Triadenum,virginicim,NEWFS-726,0.00,0.00,0.04,0.04,0.61,0.35,0.0082,0.0671,8.5392,2.52,2.52,0.91,2.53,11340,3347,3347,1208.499336,3359.893758,
1,2,Triadenum,virginicum,MARSB-610,0.00,0.00,0.13,0.13,0.09,0.78,0.0083,0.0998,30.37,3.74,3.73,21.89,3.74,28094,3460,3451,20249.76873,3459.759482,
1,2,Triadenum,virginicum,NCBG-559,0.00,0.00,0.10,0.10,0.06,0.84,0.0101,0.0051,8.2688,0.74,0.75,5.98,0.73,54400,4868,4934,39342.10526,4802.631579,
1,2,Tridens,flavus,MARSB-410,0.50,0.50,0.16,0.66,0.33,0.01,0.0923,0.1201,297.03,14.72,14.68,276.38,14.73,139845,6930,6911,130122.4105,6935.028249,
1,1,Tridens,flavus,NCBG-568,0.42,0.42,0.29,0.71,0.24,0.05,0.722,0.1048,118.33,27.56,27.58,33.52,27.54,14312,3333,3336,4054.184809,3330.914369,
1,1,Triglochin,maritima,NEWFS-641,0.07,0.07,0.00,0.07,0.93,0.00,0.0809,0.5067,171,19.6,19.58,111.44,19.58,29101,3336,3332,18965.28251,3332.198775,
NA,2,Triglochin,maritima,NEWFS-648,0.27,0.27,0.00,0.27,0.73,0.00,0.0798,0.3582,25.2472,12.53,12.58,0,0,5764,2861,2872,0,0,
2,2,Tripsacum,dactyloides,NCBG-516,,,,0.00,,1.00,7.4288,0,714.3,234.85,243.7,0,234.68,9615,3161,3280,0,3159.056644,Initial TZ of ~ 10 seeds indicated no viability.  High proportion of empty seeds or embryos damaged by insect/handling. Perhaps immature. Not planted for germ assay.
NA,2,Tsuga,canadensis,NEWFS-867,,,,0.00,,1.00,7.4288,4.1465,213.18,107.03,107.04,0,0,1842,925,925,0,0,Initial TZ of ~ 10 seeds indicated no viability.  High proportion of empty seeds or embryos damaged by insect/handling. Perhaps immature. Not planted for germ assay.
3,1,Typha,angustifolia,NCBG-505,0.40,0.40,0.22,0.62,0.00,0.38,0.024,0.0921,281.65,10.72,14.76,235.08,13.96,242593,9233,12713,202480.6202,12024.11714,
3,1,Typha,angustifolia,NCBG-509,0.06,0.06,0.13,0.19,0.00,0.81,0.0258,0.0546,286.27,10.54,7.86,253.06,10.82,356057,13109,9776,314751.2438,13457.71144,
3,1,Typha,angustifolia,NCBG-513,0.79,0.79,0.06,0.85,0.00,0.15,0.018,0.0233,278.39,9.85,9.95,231.66,11.66,674068,23850,24092,560920.0969,28232.44552,
3,1,Typha,angustifolia,NCBG-518,0.13,0.13,0.29,0.42,0.00,0.58,0.0112,0.0396,254.56,10.91,11.1,205.56,9.8,501102,21476,21850,404645.6693,19291.33858,
3,1,Typha,angustifolia,NCBG-521,0.20,0.20,0.26,0.46,0.00,0.54,0.0194,0.0188,485.46,11.86,9.89,436.92,12.44,1270838,31047,25890,1143769.634,32565.44503,
3,1,Typha,angustifolia,NCBG-534,0.69,0.69,0.13,0.82,0.00,0.18,0.0261,0.0699,398.79,12,15.11,349.17,13.05,415406,12500,15740,363718.75,13593.75,
3,1,Typha,angustifolia,NCBG-536,0.09,0.09,0.25,0.34,0.00,0.66,0.0194,0.0282,395.41,12.51,16.12,314.48,14.81,830693,26282,33866,660672.2689,31113.44538,
3,1,Typha,angustifolia,NCBG-543,0.30,0.30,0.19,0.49,0.00,0.51,0.0234,0.0382,403.86,12.68,15.66,339.2,14.51,655617,20584,25422,550649.3506,23555.19481,
3,1,Typha,angustifolia,NCBG-547,0.40,0.40,0.32,0.72,0.00,0.28,0.0135,0.0175,269.98,8.22,7.81,232.55,8.23,870903,26516,25194,750161.2903,26548.3871,
3,1,Typha,angustifolia,NCBG-549,0.15,0.15,0.70,0.85,0.00,0.15,0.0107,0.0421,351.15,12.86,13.04,307.99,20.83,665057,24356,24697,583314.3939,39450.75758,
3,1,Typha,angustifolia,NCBG-575,0.38,0.38,0.41,0.79,0.00,0.21,0.0168,0.0656,374.61,16.03,15.01,309.05,12.24,454624,19454,18216,375060.6796,14854.36893,
3,1,Typha,latifolia,NCBG-235,0.22,0.22,0.23,0.45,0.00,0.55,0.0151,0.0286,508.28,14.21,14.8,437.67,14.52,1163112,32517,33867,1001533.181,33226.54462,
3,1,Typha,latifolia,NCBG-237,0.47,0.47,0.51,0.98,0.00,0.02,0.036,0.0178,920.5,30.36,30.24,817.03,26.39,1710967,56431,56208,1518643.123,49052.04461,
3,1,Typha,latifolia,NCBG-239,0.17,0.17,0.44,0.61,0.00,0.39,0.0104,0.0586,1090.49,31.72,37.59,935.12,52.02,1580420,45971,54478,1355246.377,75391.30435,
3,1,Typha,latifolia,NCBG-242,0.00,0.00,0.11,0.11,0.00,0.89,0.0082,0.0113,984.51,34.81,42.85,851.42,28.12,5048769,178513,219744,4366256.41,144205.1282,
3,1,Typha,latifolia,NCBG-247,0.10,0.10,0.35,0.45,0.00,0.55,0.0232,0.0348,483.12,14.97,15.84,417.13,20.54,832966,25810,27310,719189.6552,35413.7931,
3,1,Typha,latifolia,NCBG-262,0.14,0.14,0.09,0.23,0.00,0.77,0.0148,0.0198,918.56,40.4,33.32,774.67,35.26,2654798,116763,96301,2238930.636,101907.5145,
3,1,Typha,latifolia,NCBG-552,0.54,0.54,0.07,0.61,0.00,0.39,0.02,0.0622,1371.89,46.53,51.22,1156.55,51.66,1668966,56606,62311,1406995.134,62846.71533,
3,1,Typha,latifolia,NCBG-579,0.64,0.64,0.29,0.93,0.00,0.07,0.0105,0.0209,1194.57,42.03,60.21,1026.7,55.89,3804363,133854,191752,3269745.223,177993.6306,
3,1,Typha,latifolia,NEWFS-784,0.62,0.62,0.15,0.77,0.00,0.23,0.0111,0.0119,957.12,14.8,11.84,865.89,10.59,4161391,64348,51478,3764739.13,46043.47826,
2,1,Uniola,paniculata,NCBG-740,0.71,0.83,0.03,0.86,0.00,0.14,0.495,0.2077,2436.07,51.78,51.76,2256.28,51.79,346673,7369,7366,321087.235,7370.143731,
1,2,Vaccinium,angustifolia,NEWFS-267,0.01,0.01,0.07,0.08,0.28,0.64,0.0236,0.1726,93.1194,8.11,8.15,68.57,8.16,47461,4134,4154,34949.0316,4159.021407,
1,2,Vaccinium,angustifolia,NEWFS-355,0.00,0.01,0.23,0.24,0.32,0.44,0.0168,0.1001,19.9882,4.25,4.29,7.59,4.2,17099,3636,3670,6492.728828,3592.814371,
NA,NA,Vaccinium,corymbosum,NEWFS-357,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Seeds were  found to be too moldy to clean and test. The sample was discarded. 
NA,NA,Vaccinium,macrocarpon,NEWFS-453,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Seeds were  found to be too moldy to clean and test. The sample was discarded. 
NA,NA,Vaccinium,macrocarpon,NEWFS-478,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Seeds were  found to be too moldy to clean and test. The sample was discarded. 
NA,NA,Vaccinium,macrocarpon,NEWFS-801,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Seeds were  found to be too moldy to clean and test. The sample was discarded. 
NA,NA,Vaccinium,myrtilloides,NEWFS-356,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Seeds were  found to be too moldy to clean and test. The sample was discarded. 
1,2,Verbena,hastata,NEWFS-786,0.00,0.00,0.29,0.29,0.00,0.71,0.0334,0.1764,159.91,10.04,9.99,129.17,10.05,76220,4786,4762,61568.16015,4790.276454,
1,1,Verbena,hastata,NEWFS-873,0.00,0.00,0.35,0.35,0.00,0.65,0.0248,0.1122,71.95,5.43,5.54,56.16,5.48,52518,3964,4044,40992.70073,4000,
1,1,Verbena,hastata,NEWFS-891,0.00,0.00,0.31,0.31,0.00,0.69,0.0281,0.1318,161.15,10.58,10.64,128.86,10.66,100782,6617,6654,80587.86742,6666.666667,
NA,2,Viburnum,nudum,NCBG-372,0.00,0.00,0.46,0.46,0.24,0.30,1.3949,0.0012,67.9366,34.18,33.87,0,0,4866,2448,2426,0,0,
3,1,Xyris,difformis,NCBG-507,0.02,0.02,0.89,0.91,0.00,0.09,0.0026,0.0171,20.9613,2.12,2.17,14.84,2.13,106403,10761,11015,75329.94924,10812.18274,
3,1,Xyris,difformis,NCBG-526,0.00,0.00,0.96,0.96,0.00,0.04,0.0027,0.0611,15.8504,2.19,2.16,9.96,2.13,24844,3433,3386,15611.28527,3338.557994,
