GG package,Pullman Box,Genus ,Species,Accn Number,% normal germ,% total germ (incl. abnormal+clip),% dormant,% viable,% empty,% dead,100 Seed Weight (g),100 Seed Inert Weight (g),Total Sample Weight (g),NLGRP Weight (g),Pullman Weight (g),Collector Weight (g),GRIN Weight (g),Total Estimated Seeds (#),NLGRP Estimated Seed (#),Pullman Estimated Seed (#),Collector Estimated Seed (#),GRIN Estimated Seed (#),Notes
3,1,Distichlis,spicata,NEWFS-805,,,,0.00,,1.00,0.1011,0.1809,21.69,7.5,7.48,0,7.53,7691,2660,2652,0,2670.212766,Initial TZ of ~ 10 seeds indicated no viability.  High proportion of empty seeds or embryos damaged by insect/handling. Perhaps immature. Not planted for germ assay.
3,1,Distichlis,spicata,NEWFS-818,,,,0.00,,1.00,0.0923,0.071,20.4926,5.46,5.47,4.32,5.48,12549,3344,3350,2645.437844,3355.786895,Initial TZ of ~ 10 seeds indicated no viability.  High proportion of empty seeds or embryos damaged by insect/handling. Perhaps immature. Not planted for germ assay.
3,1,Doellingeria,umbellata var. umbellata,NEWFS-863,0.10,0.10,0.00,0.10,0.81,0.09,0.0411,0.214,25.4194,8.48,8.48,0,8.68,9964,3324,3324,0,3402.587221,
3,1,Dulichium,arundinaceum,NEWFS-716,0.00,0.00,0.50,0.50,0.42,0.08,0.1175,0.1035,27.89,7.39,7.35,6.5,7.37,12620,3344,3326,2941.176471,3334.841629,
3,1,Dulichium,arundinaceum,NEWFS-727,0.01,0.01,0.64,0.65,0.20,0.15,0.1267,0.1101,80.81,7.95,7.98,53.44,8.01,34126,3357,3370,22567.56757,3382.601351,
NA,1,Dulichium,arundinaceum,NEWFS-834,0.01,0.01,0.61,0.62,0.05,0.33,0.1012,0.9557,42.3591,21.35,21.32,0,0,4008,2020,2017,0,0,
1,1,Eleocharis,obtusa,NEWFS-670,0.08,0.08,0.65,0.73,0.00,0.27,0.0189,0.2959,248.48,11.68,11.87,190.36,11.64,78933,3710,3771,60470.13977,3697.585769,
1,2,Eleocharis,obtusa,NEWFS-682,0.42,0.49,0.24,0.74,0.00,0.26,0.0185,0.3104,53.1,10.94,10.98,17.49,11,16145,3326,3338,5317.725753,3344.481605,
1,2,Eleocharis,obtusa,NEWFS-700,0.87,0.87,0.03,0.91,0.04,0.05,0.0228,0.2713,21.32,8.49,8.87,0,4.32,7249,2887,3016,0,1468.888133,
1,2,Eleocharis,palustris,NEWFS-632,0.23,0.23,0.42,0.65,0.08,0.27,0.0279,0.3371,79.89,12.17,12.18,49.25,12.14,21888,3334,3337,13493.15068,3326.027397,
1,2,Eleocharis,quadrangulata,NCBG-506,0.00,0.00,0.35,0.35,0.00,0.65,0.1437,0.1491,61.19,9.87,9.99,28.84,9.93,20898,3371,3412,9849.726776,3391.393443,
1,1,Eleocharis,quadrangulata,NCBG-571,0.00,0.00,0.14,0.14,0.00,0.86,0.1821,0.0871,60.06,9.02,9.02,32.19,9.04,22311,3351,3351,11957.6523,3358.098068,
1,2,Elymus,virginicus,MARSB-267,0.86,0.88,0.00,0.88,0.12,0.00,0.5609,2.0071,216.69,72.88,72.59,0,52.44,8438,2838,2827,0,2042.056075,
2,1,Eragrostis,spectabilis,NEWFS-378,0.17,0.17,0.12,0.29,0.59,0.12,0.0093,0.1364,108.26,6.8,6.79,84.59,7,74303,4667,4660,58057.65271,4804.392588,
2,1,Eragrostis,spectabilis,NEWFS-745,0.84,0.84,0.03,0.88,0.07,0.05,0.0088,0.1081,433.94,14.82,14.78,373.12,14.78,371206,12678,12643,319178.7853,12643.28486,
NA,1,Erechtites,hieraciifolia,NEWFS-412,0.96,1.00,0.00,1.00,0.00,0.00,0.0608,0.4073,12.412,6.24,6.3,0,0,2652,1333,1346,0,0,
1,1,Eriophorum,virginicum,NEWFS-452,0.00,0.00,0.54,0.54,0.36,0.11,0.0853,0.2009,38.09,9.59,9.55,9.36,9.63,13309,3351,3337,3270.440252,3364.779874,
1,2,Eriophorum,virginicum,NEWFS-696,,,,0.00,,1.00,0.0613,0.2012,104.14,8.99,8.97,78.16,9.04,39672,3425,3417,29775.2381,3443.809524,Initial TZ of ~ 10 seeds indicated no viability.  High proportion of empty seeds or embryos damaged by insect/handling. Perhaps immature. Not planted for germ assay.
2,1,Eupatorium,hyssopifolium,NCBG-315,0.32,0.32,0.00,0.32,0.68,0.00,0.0272,0.1317,42.83,5.51,5.52,27.38,5.5,26954,3468,3474,17230.96287,3461.296413,
2,1,Eupatorium,hyssopifolium,NCBG-395,0.13,0.13,0.00,0.13,0.83,0.04,0.0307,0.1122,16.61,4.8,4.76,3.36,4.75,11624,3359,3331,2351.294612,3324.002799,
2,none assigned,Eupatorium,perfoliatum,NEWFS-874,0.31,0.41,0.01,0.42,0.54,0.05,0.011,0.1089,71.34,3.98,3.99,60.12,4,59500,3319,3328,50141.78482,3336.113428,
2,1,Eupatorium,serotinum,MARSB-375,0.76,0.76,0.00,0.76,0.24,0.00,0.0215,0.0971,259,5.27,5.33,259,5.33,218381,4444,4494,218381.113,4494.097808,
